rarityID,commonName,species,callUrl,wingspan,size,identiftingMarks,range,description,photographUrl,matingSeason
Uncommon,Highland Tinamou,Nothocercus bonapartei,,Wingspan ranging from 42 to 50 cm. (disputed),Length of 30 to 41 centimeters. (disputed),"Rotund, chicken-like ground bird with a circular body and short tail. Plumage is principally reddish-brown, becoming browner over much of the upperparts, with a dark gray crown and sides of the neck. It features small buffy spots on the back. It has bright yellow legs and feet. (verified)","Montane Costa Rica and western Panama, and from northern Venezuela south to extreme northern Peru. (verified)","Also known as the Bonaparte’s Tinamou, this species is, as its vernacular name suggests, principally a highland bird. Although its overall altitudinal range extends from 500 m to 2500 m, Highland Tinamou mainly occurs above 1500 m, where it prefers wet areas in dense, tall undergrowth of humid forests, including cloud forests. The geographical range of Highland Tinamou includes montane Costa Rica and western Panama, and it occurs again from northern Venezuela south to extreme northern Peru. The plumage is principally reddish brown, becoming browner over much of the upperparts, with a dark gray crown and sides of the neck. The breeding system of Highland Tinamou is rather better known than many other forest-based tinamous. Each male sings near constantly at the height of the breeding season, sometimes establishing more than one calling arena, linked by paths kept clear of leaves and other debris by the male’s regular activity. Highland Tinamou is polygynous, with several females mating with a single older male, and all of them laying in one nest, giving a total of 4–10 eggs. Young males, however, reportedly only pair with a single female. (verified)",,Breeding typically occurs during the rainy season when food resources are abundant. (disputed)
Uncommon,Great Tinamou,Tinamus major,,Approximately 241 mm (based on wing measurement data). (verified),Total length of approximately 38 to 46 cm (15 to 18 in). (verified),"Large, almost tailless game bird; olive-green to brown plumage with barred flanks; whitish throat and belly; rufous crown and neck with blackish crest; blue-grey legs. Known for its powerful, quavering song and explosive, ""cannonball-like"" flight when startled. (verified)",Southern Mexico south through the Amazon basin (Central and South America). (verified),"Great Tinamou is a large tinamou of lowland forest from southern Mexico south through the Amazon basin. Like other tinamous, this species is usually detected by voice. Its quavering and mournful, yet powerful, song is given mostly at dawn and dusk and can carry some distance through the forest. Birds forage by walking quietly along the ground. When startled, they explode into the air and crash off through the forest, resembling ""cannonballs with heads and wings"". Individuals roost at night on a branch or vine above the ground, resting their weight on pads on the upper portion of the tarsi. The large size and powerful, quavering song of the Great Tinamou distinguish it from most sympatric lowland tinamous. (verified)",,"The breeding season is long, lasting from mid-winter to late summer. (verified)"
Common,Little Tinamou,Crypturellus soui,,The wingspan of the Little Tinamou is approximately 25 cm to 30 cm (9.8 to 11.8 inches). (verified),The Little Tinamou is approximately 21.4 cm to 24.1 cm (8.4 to 9.5 inches) in total length. (verified),"The Little Tinamou is small and almost tailless, with an unbarred, sooty-brown or grayish-buff plumage that can transition to a darker, slaty-black head. The foreneck is whitish, and the underparts are generally cinnamon-buff. (verified)","The Little Tinamou is found in the lowlands and foothills of Central America and northwestern South America, extending through the Amazon and Orinoco basins to southeastern Brazil. (verified)","The Little Tinamou is a small, cryptic tinamou of Central America and northwestern South America, the Amazon and Orinoco basins, and southeastern Brazil's Atlantic rainforest. It is a terrestrial bird that patrols the ground near edges of well-shaded primary rainforest and dense secondary forest, slowly walking as it forages for fruit, seeds, and small insects. It is heard much more often than seen, characterized by its distinctive tremolo call, which is audible throughout the day, though most vocal at dawn and dusk. It is small and plain grayish-buff, lacking the bold barring patterns of many other tinamou species. (verified)",,"Breeding can occur throughout much of the year in many parts of its range, with nesting activity often showing peaks (e.g., February and September in some regions of Central America). (verified)"
Common,Thicket Tinamou,Crypturellus cinnamomeus,,Sources provide conflicting information; some report 31.3 cm while others suggest 40-45 cm. (disputed),27 to 32 cm long (verified),Red legs; variations include gray below/unbarred back (males in Pacific lowlands) or cinnamon below/barred back (males elsewhere); females are always barred above. Distinctive pale barring on upperparts. (verified),"From northern Mexico south to southern Costa Rica, inhabiting arid woodlands to moist oak woodlands up to 1800m. (verified)","The northernmost representative of a large family of terrestrial birds, Thicket Tinamou occurs from northern Mexico south to southern Costa Rica. This species has two distinctive groups of populations. Along the Pacific lowlands of Mexico from Sinaloa to Guerrero is a subspecies that is gray below and whose male has an unbarred back. From Tamaulipas and the Yucatan Peninsula to the dry forests of northwestern Costa Rica are forms that are cinnamon below and whose males are barred above. Females of all populations are barred above. All Thicket Tinamous also have red legs. Thicket Tinamou occurs from arid woodlands near sea level to approximately 1800 m where it inhabits moist oak woodlands. Although large (length 29 cm), Thicket Tinamou generally remains hidden among dense shrubs, vine tangles, and impenetrable thickets of terrestrial bromeliads, so is usually detected by its far-carrying, mellow, quavering whistle. (verified)",,The breeding season in Mexico extends from late March or early April to late July or August. (verified)
Uncommon,Slaty-breasted Tinamou,Crypturellus boucardi,,"Approximately 33 cm (some sources report this, others indicate data is unavailable). (verified)",Approximately 26-29 cm in length. (verified),"Dark overall with a grayish neck and breast, blackish head, and white throat. The back ranges from black to chestnut. Legs are pink to bright red. Females have distinct barring on their wings and upperparts. (verified)","Middle America, from southeastern Mexico south to Costa Rica, including Guatemala, Belize, Honduras, and Nicaragua. (verified)","Also known as Boucard’s Tinamou, this species is found in Middle America, from southeastern Mexico south to Costa Rica. It lives in various forest types with dense understory, plantations, and second growth, from sea level to 1800 m. It has two subspecies. Its song is a three-noted ah-oowah. Threats include hunting and habitat destruction. (verified)",,"The territorial song, indicative of breeding activity, can be heard year-round, although rain typically suppresses vocalizing activity. (verified)"
Rare,Choco Tinamou,Crypturellus kerriae,,Reported as approximately 30.8 cm (12.1 inches). (unverified),Approximately 25 to 26.5 cm (9.8–10.4 inches) in length. (verified),"Small, plain dark tinamou with a blackish crown, slate-grey sides of the neck, a whitish throat, and indistinct dusky barring. Females are darker with coarser barring on wing-coverts and breast and have grey flanks. Red legs. (verified)",Extreme southeastern Panama (Darién Province) and northwestern Colombia (Chocó Department). (verified),"Choco Tinamou is found in dense tropical forest at 300–1500 m in extreme southeastern Panama and northwestern Colombia. This relatively small, black-headed tinamou remains very poorly known, and virtually nothing has been published concerning its natural history. It has dark brown upperparts, a blackish crown, slate-grey sides of the neck, and a whitish throat. The species is ground-dwelling, elusive, and rarely takes to the air. (verified)",,"Specific months are not well-documented; however, it is known that males are responsible for incubating eggs in a simple, shallow ground nest, typically hidden beneath dense cover. (verified)"
Common,White-faced Whistling-Duck,Dendrocygna viduata,,The wingspan of the White-faced Whistling-Duck ranges from 86 cm to 94 cm. (verified),The White-faced Whistling-Duck typically measures between 38 cm and 53 cm in length. (verified),"The White-faced Whistling-Duck is distinguished by a strong contrast between its white face/forehead and black crown and back of the head. It has a long, dark bill, a brown neck with a black line down the back, and a large black band running from the chest to the tail. The sides are ocher, finely barred with black. (verified)","Native to widespread regions of sub-Saharan Africa and parts of South America (including Brazil, Argentina, and Uruguay). (verified)","The White-faced Whistling-Duck is a boldly patterned resident of freshwater marshes across sub-Saharan Africa and South America. Easily distinguishable by its black head and crown, with a white cheek and forehead, it is a social species that often congregates in large flocks. It is primarily a nocturnal forager, feeding on grass, seeds, and aquatic invertebrates. During the breeding season, they form monogamous pairs and often nest in colonies near water, with both parents participating in egg incubation and chick rearing. (verified)",,"Breeding typically coincides with the local rainy or wet seasons, which varies by region across its extensive range in Africa and South America. (verified)"
Uncommon,Black-bellied Whistling-Duck,Dendrocygna autumnalis,,The wingspan is 76 to 94 cm (approximately 30 to 37 inches). (verified),The average length is 47 to 56 cm (approximately 19 to 22 inches). (verified),"Distinguished by its long-legged, upright silhouette, brilliant pink/red bill, pink feet, and extensive white wing-patch visible in flight. It has a gray face, chestnut crown, neck, and breast, with a black belly. (verified)","Found in Neotropical and New World regions, breeding mainly along coastal Mexico and southern Texas. It is expanding its range northward in the United States, with sightings as far north as Midwestern and East Coast states. (verified)","The Black-bellied Whistling-Duck is a highly gregarious Neotropical duck restricted to the New World. Distinguished by its red/pink bill, pink feet, and white wing-patch, it is more arboreal than other whistling-ducks and vocal in flight. It nests primarily in natural cavities in trees or nest boxes. In North America, it breeds mainly along coastal regions of Mexico and southern Texas and is showing signs of northward range expansion. It forms lifelong pair bonds and breeds in its first year. The diet consists of plant materials, especially Bermuda grass and sorghum seeds. (verified)",,"The breeding season is long, with records from April to October in Texas; peak nesting activity occurs from mid-May to August. (verified)"
Rare,West Indian Whistling-Duck,Dendrocygna arborea,,Specific wingspan data is not widely documented or is often excluded from standard biometric tables for this species. (unverified),48 to 58 cm (19 to 23 inches) in length (verified),"Large, dark brown duck with a pale foreneck, light brown face, and a dark brown to black crown, back, breast, and wings. Its underparts are white with heavy black markings. It has a long black bill, long head, and relatively long legs. (verified)","Widely scattered throughout the West Indies, including the Bahamas, Cuba, Cayman Islands, Antigua and Barbuda, Jamaica, Hispaniola, and Puerto Rico. (verified)","One of the rarest ducks in the Americas, the West Indian Whistling-Duck is a large, graceful, mostly brown duck with black and white speckling on its flanks, long neck and legs, black bill and large feet. It is endemic to the islands of the West Indies where it can be found in a variety of fresh and saline water bodies, including lagoons, swamps, salt ponds, tidal flats, coastal mangroves, rice fields and palm savannas. Populations are very small on most islands and reduced from historical numbers due to hunting, habitat destruction, and predation by invasive species. (verified)",,"The breeding season is variable and ill-defined, differing by island. In Cuba, it typically occurs from June to October, while in other regions such as Long Island, Bahamas, it has been recorded from February through July. (verified)"
Common,Fulvous Whistling-Duck,Dendrocygna bicolor,,85–93 cm (approximately 33–37 inches). (verified),45–53 cm (18–21 in) in length. (verified),"The species has a rich buff/caramel-brown head, neck, and breast, with a dark brown stripe running from the crown down the back of the neck. It features a horizontal white stripe on the flanks and, particularly visible in flight, a white crescent or V-shape above the tail. The bill, legs, and feet are blue-gray. (verified)","Distributed across tropical and subtropical regions of the Americas, Africa, and Asia. In the U.S., breeding is primarily restricted to the Gulf Coastal Plain of Texas and Louisiana, parts of southern California, and south- and east-central Florida. (verified)","The Fulvous Whistling-Duck (formerly Fulvous Tree Duck) is a widely distributed species of waterfowl found in tropical, subtropical, and some temperate regions of the Americas, Africa, and Asia. It is a medium-sized, long-legged, and long-necked duck often associated with rice fields and freshwater marshes. (verified)",,"In the U.S. Gulf Coast, they return to nesting areas in February and March, coinciding with rice planting. (verified)"
